GROUP,lon,lat,day_ocurrence
1,-77.8344444444,2.5475,888
3,-77.9394388889,2.5475388889,888
1,-77.7597805556,2.6362555556,888
3,-77.9588861111,2.636175,639
3,-77.9588861111,2.636175,640
4,-77.9394388889,2.5475388889,641
4,-77.9394388889,2.5475388889,643
3,-77.8935833333,2.5731694444,644
4,-77.7597805556,2.6362555556,654
3,-77.9588861111,2.636175,645
5,-77.7597805556,2.6362555556,656
5,-77.8932055556,2.57055,573
3,-77.9822583333,2.45215,539
3,-77.8932055556,2.57055,567
3,-77.9588861111,2.636175,543
4,-77.7545,2.5189388889,546
5,-77.7502583333,2.6150361111,487
5,-77.8786111111,2.5519444444,511
4,-77.8786111111,2.5519444444,574
3,-77.9588861111,2.636175,561
3,-77.8812305556,2.5649305556,558
4,-78.0898361111,2.5127944444,395
4,-77.7545,2.5189388889,541
4,-77.7545,2.5189388889,545
3,-77.885675,2.5656166667,508
2,-77.8786111111,2.5519444444,313
5,-77.7992027778,2.6106138889,662
4,-77.7597805556,2.6362555556,679
2,-62.8972222222,4.6880555556,685
3,-77.8875416667,2.5692555556,690
3,-77.8812305556,2.5649305556,692
3,-77.9588861111,2.636175,707
5,-77.7992027778,2.6106138889,707
3,-77.8890972222,2.5721722222,708
5,-77.7992027778,2.6106138889,708
3,-77.8812305556,2.5649305556,709
2,-77.7630555556,2.7630555556,715
5,-77.7992027778,2.6106138889,716
5,-77.7992027778,2.6106138889,716
5,-77.7992027778,2.6106138889,716
5,-77.7992027778,2.6106138889,718
1,-77.7992027778,2.6106138889,718
1,-77.7992027778,2.6106138889,747
1,-77.7992027778,2.6106138889,750
5,-77.7992027778,2.6106138889,751
1,-77.7992027778,2.6106138889,753
5,-77.7992027778,2.6106138889,756
5,-77.8344444444,2.5475,760
3,-77.7992027778,2.6106138889,769
3,-77.7992027778,2.6106138889,771
3,-77.8192111111,2.6155194444,782
5,-77.7597805556,2.6362555556,786
5,-77.7597805556,2.6362555556,786
3,-77.885675,2.5656166667,110
5,-77.7597805556,2.6362555556,787
5,-77.7992027778,2.6106138889,795
3,-77.7736111111,2.5255555556,796
3,-77.7736111111,2.5255555556,796
5,-77.8945388889,2.5706694444,796
3,-77.9588861111,2.636175,827
3,-77.9588861111,2.636175,833
1,-77.7992027778,2.6106138889,844
3,-77.7992027778,2.6106138889,851
3,-77.885675,2.5656166667,862
5,-77.8192111111,2.6155194444,872
1,-77.7992027778,2.6106138889,879
3,-77.8955666667,2.5731,879
1,-77.7992027778,2.6106138889,887
1,-77.7597805556,2.6362555556,891
1,-77.8192111111,2.6155194444,891
1,-77.7157666667,2.8183611111,893
5,-77.8192111111,2.6155194444,893
1,-77.7992027778,2.6106138889,893
1,-77.7992027778,2.6106138889,894
4,-77.8192111111,2.6155194444,895
3,-77.8192111111,2.6155194444,900
4,-77.7992027778,2.6106138889,902
4,-77.7992027778,2.6106138889,915
4,-77.7992027778,2.6106138889,916
5,-77.7992027778,2.6106138889,916
4,-77.7992027778,2.6106138889,917
4,-77.885675,2.5656166667,917
4,-77.8816611111,2.6064194444,919
1,-77.7992027778,2.6106138889,924
1,-77.7992027778,2.6106138889,924
1,-77.7992027778,2.6106138889,924
3,-77.7597805556,2.6362555556,925
3,-77.7597805556,2.6362555556,935
5,-77.7992027778,2.6106138889,935
3,-77.8786111111,2.5519444444,935
3,-77.8816611111,2.6064194444,936
3,-77.8192111111,2.6155194444,937
1,-77.7992027778,2.6106138889,942
1,-77.8192111111,2.6155194444,945
5,-77.8192111111,2.6155194444,949
1,-77.7992027778,2.6106138889,964
3,-77.9394388889,2.5475388889,971
3,-77.9394388889,2.5475388889,612
3,-77.7597805556,2.6362555556,939
3,-77.7597805556,2.6362555556,939
3,-77.7597805556,2.6362555556,939
3,-77.7992027778,2.6106138889,767
5,-77.9394388889,2.5475388889,733
2,-77.8786111111,2.5519444444,190
2,-77.8812305556,2.5649305556,220
2,-77.8905055556,2.5705444444,209
2,-62.8972222222,4.6880555556,243
2,-77.8786111111,2.5519444444,343
2,-77.8905055556,2.5705444444,343
2,-77.885675,2.5656166667,341
4,-77.8786111111,2.5519444444,344
2,-77.885675,2.5656166667,334
2,-77.885675,2.5656166667,343
2,-77.8786111111,2.5519444444,334
2,-77.8786111111,2.5519444444,322
2,-77.8786111111,2.5519444444,348
2,-77.8786111111,2.5519444444,340
2,-77.8786111111,2.5519444444,334
4,-77.8786111111,2.5519444444,341
2,-77.885675,2.5656166667,340
4,-77.8812305556,2.5649305556,328
2,-77.8945388889,2.5706694444,321
4,-77.8786111111,2.5519444444,347
4,-77.8786111111,2.5519444444,0
4,-77.8786111111,2.5519444444,279
4,-77.7157666667,2.8183611111,458
4,-77.7157666667,2.8183611111,458
4,-77.7157666667,2.8183611111,458
4,-77.7157666667,2.8183611111,458
5,-77.8786111111,2.5519444444,456
3,-77.8786111111,2.5519444444,462
3,-77.8786111111,2.5519444444,482
4,-77.9822583333,2.45215,146
4,-77.9394388889,2.5475388889,579
3,-77.8816611111,2.6064194444,597
3,-77.9822583333,2.45215,597
3,-77.8812305556,2.5649305556,603
